2B (Nose Pokes),,,,,,2G (deltaF/F),,,,,,,,,,,,,,,,,,,,2H (deltaF/F),,,,,,,,,,,,,,,,,,
,RR20,,RI120,,,,NP+,,,,,,,,,NP-,,,,,,,,,,,ME+,,,,,,,,,ME-,,,,,,,,
ID,Valued,Devalued,Valued,Devalued,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,
1,61,25,45,31,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5
,,,,,,-0.9,0.133333333,0.191666667,0.136363636,0.56,0.198947,0.491111,0.199167,0.277377,0.539643,0.747059,0.310714,0.425,0.384211,0.307339,0.597794,0.434615,0.351835,0.799597,,-0.9,0.733333,0.35,0.636364,-0.03,0.226316,0.642222,0.725,0.698361,0.530357,0.254545,0.554321,0.441772,0.325641,0.389333,1.095238,0.733333,0.658462,0.55614
,,,,,,-0.86667,0.166666667,0.2,0.127272727,0.52,0.193684,0.493333,0.1825,0.277377,0.537857,0.711765,0.257143,0.425,0.363158,0.289908,0.596324,0.428462,0.36055,0.802419,,-0.86667,0.7375,0.35,0.7,-0.01,0.315789,0.715556,0.766667,0.772131,0.548214,0.254545,0.579012,0.460759,0.34359,0.416,1.152381,0.728205,0.713846,0.587719
,,,,,,-0.83333,0.2,0.175,0.154545455,0.44,0.183158,0.493333,0.1825,0.272459,0.523571,0.741176,0.225,0.414286,0.363158,0.274312,0.606618,0.413846,0.360092,0.802016,,-0.83333,0.733333,0.358333,0.709091,0.06,0.378947,0.795556,0.808333,0.854098,0.6,0.218182,0.620988,0.474684,0.347436,0.450667,1.190476,0.739744,0.764615,0.631579
,,,,,,-0.8,0.2,0.125,0.145454545,0.39,0.172632,0.493333,0.17,0.262623,0.518214,0.741176,0.232143,0.405357,0.352632,0.26422,0.606618,0.402308,0.354128,0.796371,,-0.8,0.708333,0.391667,0.754545,0.09,0.463158,0.88,0.829167,0.942623,0.660714,0.227273,0.653086,0.489873,0.364103,0.48,1.242857,0.753846,0.827692,0.65614
,,,,,,-0.76667,0.166666667,0.116666667,0.118181818,0.39,0.172632,0.491111,0.161667,0.256066,0.503929,0.752941,0.203571,0.380357,0.321053,0.246789,0.602941,0.405385,0.348165,0.793548,,-0.76667,0.7125,0.4,0.790909,0.15,0.526316,0.988889,0.870833,1.027869,0.739286,0.209091,0.68642,0.51519,0.4,0.517333,1.27619,0.779487,0.896923,0.694737
,,,,,,-0.73333,0.166666667,0.1,0.145454545,0.38,0.151579,0.486667,0.161667,0.252787,0.491429,0.764706,0.157143,0.367857,0.289474,0.237615,0.597059,0.391538,0.348165,0.789919,,-0.73333,0.725,0.416667,0.854545,0.27,0.584211,1.071111,0.895833,1.122951,0.791071,0.209091,0.730864,0.539241,0.425641,0.556,1.32381,0.797436,0.958462,0.736842
,,,,,,-0.7,0.166666667,0.05,0.081818182,0.36,0.141053,0.488889,0.149167,0.252787,0.500357,0.735294,0.146429,0.344643,0.268421,0.221101,0.597059,0.382308,0.335321,0.784677,,-0.7,0.729167,0.466667,0.909091,0.34,0.642105,1.193333,0.933333,1.211475,0.875,0.190909,0.77037,0.562025,0.446154,0.593333,1.342857,0.811538,1.004615,0.768421
,,,,,,-0.66667,0.166666667,0,0.063636364,0.36,0.104211,0.464444,0.153333,0.242951,0.502143,0.758824,0.128571,0.307143,0.236842,0.199083,0.591912,0.379231,0.327064,0.783871,,-0.66667,0.741667,0.558333,0.981818,0.49,0.710526,1.286667,0.966667,1.290164,0.933929,0.2,0.803704,0.605063,0.475641,0.630667,1.361905,0.824359,1.06,0.803509
,,,,,,-0.63333,0.166666667,-0.025,0.063636364,0.35,0.062105,0.464444,0.128333,0.234754,0.495,0.782353,0.135714,0.294643,0.189474,0.181651,0.588971,0.369231,0.313303,0.771774,,-0.63333,0.741667,0.633333,1.063636,0.61,0.768421,1.377778,0.991667,1.378689,1,0.209091,0.853086,0.621519,0.519231,0.662667,1.4,0.825641,1.126154,0.842105
,,,,,,-0.6,0.233333333,0.008333333,0.009090909,0.32,0.046316,0.448889,0.103333,0.226557,0.486071,0.817647,0.117857,0.253571,0.178947,0.159633,0.571324,0.366154,0.299541,0.762903,,-0.6,0.758333,0.741667,1.118182,0.75,0.847368,1.464444,1.020833,1.455738,1.058929,0.209091,0.916049,0.658228,0.560256,0.709333,1.42381,0.821795,1.170769,0.877193
,,,,,,-0.56667,0.3,-0.025,0.018181818,0.32,0.004211,0.437778,0.099167,0.215082,0.486071,0.811765,0.096429,0.225,0.152632,0.144037,0.564706,0.361538,0.295872,0.755242,,-0.56667,0.745833,0.791667,1.190909,0.9,0.921053,1.54,1.033333,1.508197,1.125,0.218182,0.961728,0.692405,0.614103,0.738667,1.442857,0.821795,1.196923,0.915789
